formation_date,holding_start,holding_end,stock_id,stock_name,rank_in_top150,alpha_rank,alpha,alpha_annualized,pvalue_alpha,beta_mkt,beta_smb,beta_hml,beta_rmw,beta_cma,pvalue_mkt,pvalue_smb,pvalue_hml,pvalue_rmw,pvalue_cma,r2,adj_r2,n_obs,reg_start,reg_end,pvalue_rank
2025-01-22,2025-02-03,2025-02-27,6446,藥華藥,48,1.0,0.005481966275630977,1.3814555014590062,0.00818884837072289,0.6217707026883603,0.8049765327588624,-1.1728417433203324,-1.1290131454725874,-0.23280880716616945,0.0008296371478872921,0.004666704518243485,0.0032706589173733974,0.0063005779939969,0.5102586983651034,0.20395063205851482,0.18120636440304394,181,2024-05-02,2025-01-22,1.0
2025-01-22,2025-02-03,2025-02-27,3529,力旺,44,2.0,0.0025532508228556365,0.6434192073596204,0.2554850832363793,0.6970823261398092,0.5727589248891888,-1.4438780140000818,-1.3033822027381907,-0.7534716064535171,0.0006054584785896625,0.06349864421026356,0.0009496936420464367,0.00392016340575063,0.05210833187539737,0.2817395650475839,0.26121783833465784,181,2024-05-02,2025-01-22,27.0
2025-01-22,2025-02-03,2025-02-27,3293,鈊象,38,3.0,0.0025518920617157662,0.6430767995523731,0.19044958836573517,0.6034327027602685,0.5959186632355368,0.046461113650164254,0.4232119473366522,-0.3655653563719828,0.0006217968720261582,0.026368835576257275,0.9008990220307093,0.27538787999177605,0.27561184377562953,0.18270204355748487,0.15935067337341313,181,2024-05-02,2025-01-22,18.0
2025-01-22,2025-02-03,2025-02-27,2615,萬海,52,4.0,0.00251877177147842,0.6347304864125619,0.33254607472470266,1.257640715587521,0.22345766003140677,1.3749031404959642,0.04213080132604594,-0.4127696290792603,1.7704212438619989e-07,0.5301311213682125,0.006318277675141937,0.935069364342757,0.3562725710458374,0.17160530230380866,0.14793688236963187,181,2024-05-02,2025-01-22,36.0
2025-01-22,2025-02-03,2025-02-27,3008,大立光,24,5.0,0.0020728385033491814,0.5223553028439937,0.19356200210824864,0.7786810519244434,0.40133998937451143,-0.9749211941188789,-1.3195114825670635,-0.2854171688102864,1.3432495976081184e-07,0.06687598463997335,0.0016374861468217115,4.7777263390408395e-05,0.2979992890426116,0.3071305529206779,0.2873342830041259,181,2024-05-02,2025-01-22,20.0
2025-01-22,2025-02-03,2025-02-27,2345,智邦,18,6.0,0.0018399122662235852,0.4636578910883435,0.29413885524053446,1.072977392794221,1.0310796015797425,0.15933206040739403,0.46682552157234275,-0.028462376634588563,1.0176733711608557e-10,2.7981126402939617e-05,0.6354723057775081,0.18193805041080924,0.9247814759983232,0.31912413137748186,0.2996705351311243,181,2024-05-02,2025-01-22,29.0
2025-01-22,2025-02-03,2025-02-27,2888,新光金,51,7.0,0.0018152317278564152,0.4574383954198166,0.17140188938949882,0.8055097248896668,0.4720115677194846,0.9601496769199233,0.21214703797273526,-0.20774635599753336,1.3204034012969063e-10,0.009952869159661159,0.00021045308056654184,0.4215229415902013,0.36252529017488966,0.2351667008347016,0.2133143208585503,181,2024-05-02,2025-01-22,15.0
2025-01-22,2025-02-03,2025-02-27,2049,上銀,107,8.0,0.001812455474450026,0.45673877956140657,0.2765762104209424,0.9664319382498775,0.9314602901718974,-0.33317771059176554,-0.6362654726709154,-0.054376738431030504,7.033507259233338e-10,6.488947659453575e-05,0.2971901097230678,0.05606408081311688,0.8493715664844597,0.2786506426216474,0.25804066098226597,181,2024-05-02,2025-01-22,28.0
2025-01-22,2025-02-03,2025-02-27,6789,采鈺,105,9.0,0.0018014779100096992,0.4539724333224442,0.21717049111931191,1.3590982589870324,1.170136129080595,-1.262247070136528,-1.2959985439187758,0.2513252099286968,3.009138256001455e-20,2.1324652720199904e-08,1.123515698685815e-05,1.3862247256514935e-05,0.31692833163586476,0.5492688586233654,0.5363908260126045,181,2024-05-02,2025-01-22,24.0
2025-01-22,2025-02-03,2025-02-27,3706,神達,119,10.0,0.0016980737658387724,0.42791458899137064,0.37954406380327177,1.0677150573855632,1.209184739689735,0.4079195621901887,0.8222810833474202,0.33996199664307053,3.712907632612464e-09,8.885693623363404e-06,0.2715923291935984,0.03362471635386063,0.3070278385425633,0.2521016004380803,0.23073307473631122,181,2024-05-02,2025-01-22,39.0
